region,land_type,road_access,utilities,area_sqft,distance_to_city_km,infrastructure_score,development_potential,price
Bangalore_South,Residential,Interior_Road,Fully_Connected,3190,4.3,5.0,4.9,5263000
Bangalore_North,Residential,Main_Road,Fully_Connected,4630,11.3,6.4,6.1,8906000
Bangalore_South,Residential,Main_Road,Fully_Connected,11260,29.3,4.7,6.8,17279000
Bangalore_North,Mixed,Secondary_Road,Partial,5370,10.3,5.8,9.1,11915000
Noida_NCR,Residential,Main_Road,Partial,8610,9.0,6.5,8.8,12998000
Bangalore_North,Industrial,Interior_Road,Not_Connected,31290,16.4,5.9,7.3,28205000
Pune,Agricultural,Secondary_Road,Partial,13350,3.0,5.9,6.2,8623000
Noida_NCR,Industrial,Interior_Road,Partial,8280,1.8,6.0,6.5,11843000
Chennai,Mixed,Interior_Road,Fully_Connected,3490,21.1,4.0,3.7,3342000
Bangalore_South,Industrial,Secondary_Road,Partial,10090,6.8,5.8,3.9,12142000
Ahmedabad,Mixed,Interior_Road,Fully_Connected,5660,4.9,5.0,3.8,5027000
Noida_NCR,Residential,Main_Road,Fully_Connected,5960,40.8,4.7,5.4,9559000
Ahmedabad,Industrial,Secondary_Road,Fully_Connected,54590,39.1,4.0,4.4,25971000
Bangalore_North,Commercial,Main_Road,Fully_Connected,9930,13.9,3.8,2.5,33858000
Bangalore_North,Commercial,Interior_Road,Fully_Connected,5860,19.6,4.8,5.3,12739000
Indore,Industrial,Interior_Road,Partial,3780,36.5,2.8,3.5,822000
Hyderabad,Mixed,No_Road,Not_Connected,6280,10.1,5.1,3.8,2758000
Hyderabad,Agricultural,Interior_Road,Partial,51170,39.1,6.9,6.3,16781000
Pune,Commercial,No_Road,Partial,9090,21.3,5.0,5.0,7879000
Noida_NCR,Commercial,Main_Road,Partial,34950,59.3,4.7,4.4,34371000
Bhopal,Residential,No_Road,Fully_Connected,8960,2.8,3.5,5.8,2040000
Hyderabad,Residential,Secondary_Road,Partial,6660,32.4,5.2,2.8,4701000
Indore,Residential,Secondary_Road,Partial,2140,1.9,3.0,1.1,600000
Bangalore_North,Residential,Secondary_Road,Fully_Connected,2870,32.3,5.0,5.5,3336000
Chennai,Residential,Main_Road,Fully_Connected,3760,6.2,4.2,5.1,4123000
Noida_NCR,Agricultural,Main_Road,Not_Connected,24880,1.1,6.4,7.1,19727000
Bangalore_North,Commercial,Main_Road,Partial,11360,34.7,2.0,2.6,17184000
Bangalore_South,Mixed,Main_Road,Fully_Connected,7570,1.0,4.8,4.0,25275000
Pune,Agricultural,Secondary_Road,Partial,18780,30.1,6.4,6.5,7152000
Bhopal,Residential,Interior_Road,Fully_Connected,8710,2.3,5.1,4.9,3429000
Chennai,Residential,Secondary_Road,Fully_Connected,4280,13.4,6.6,8.9,5573000
Indore,Residential,Secondary_Road,Fully_Connected,1300,0.5,6.2,5.9,603000
Ahmedabad,Mixed,Secondary_Road,Fully_Connected,5800,1.3,6.0,6.1,7369000
Pune,Residential,Secondary_Road,Partial,4800,4.7,5.1,9.3,6634000
Ahmedabad,Commercial,Main_Road,Fully_Connected,15810,7.2,3.7,4.3,25686000
Bangalore_North,Mixed,Interior_Road,Partial,4820,3.8,7.7,8.2,9351000
Bangalore_North,Mixed,Main_Road,Fully_Connected,10280,2.4,6.5,7.5,44406000
Kochi,Residential,Interior_Road,Partial,4520,1.6,7.8,8.6,2706000
Ahmedabad,Residential,Interior_Road,Partial,1700,10.7,4.3,5.4,662000
Bangalore_South,Residential,Secondary_Road,Partial,1590,1.2,8.5,8.2,2527000
Chennai,Residential,Interior_Road,Partial,8300,38.8,3.8,4.8,3176000
Chennai,Residential,Main_Road,Not_Connected,8700,39.8,5.5,5.0,3097000
Kochi,Commercial,Interior_Road,Partial,10030,0.7,6.9,7.3,10601000
Chennai,Mixed,Interior_Road,Partial,15860,19.8,3.5,7.5,13433000
Pune,Commercial,Interior_Road,Partial,16760,18.5,4.5,7.0,23979000
Hyderabad,Agricultural,Interior_Road,Fully_Connected,92510,15.9,4.6,5.7,55102000
Pune,Residential,Interior_Road,Fully_Connected,2210,4.6,4.2,6.2,3080000
Noida_NCR,Industrial,No_Road,Fully_Connected,79910,15.9,7.0,5.6,53179000
Kochi,Agricultural,Secondary_Road,Fully_Connected,81020,20.5,3.8,4.3,18775000
Pune,Industrial,Interior_Road,Fully_Connected,14690,5.5,5.7,7.4,23029000
Bangalore_South,Mixed,Interior_Road,Fully_Connected,3890,30.7,5.6,8.2,5450000
Bangalore_South,Residential,Secondary_Road,Partial,4730,12.2,3.5,3.3,5537000
Ahmedabad,Residential,No_Road,Fully_Connected,1350,35.6,5.3,5.0,387000
Kochi,Residential,Secondary_Road,Partial,6300,10.2,4.0,8.1,3273000
Bangalore_North,Commercial,Secondary_Road,Fully_Connected,4100,34.1,5.8,6.2,9376000
Bangalore_North,Mixed,Main_Road,Partial,7630,59.3,4.9,8.2,5713000
Chennai,Residential,Main_Road,Fully_Connected,2850,9.1,6.8,7.1,4514000
Bangalore_South,Agricultural,Interior_Road,Fully_Connected,39410,22.1,5.2,6.0,22010000
Kochi,Commercial,Secondary_Road,Fully_Connected,4710,37.9,1.0,2.2,2308000
Hyderabad,Residential,Secondary_Road,Partial,3600,80.0,3.4,5.8,1183000
Bangalore_South,Residential,Main_Road,Fully_Connected,13660,16.2,5.8,8.1,24740000
Indore,Agricultural,Secondary_Road,Not_Connected,173920,30.7,2.1,1.9,10508000
Bangalore_South,Agricultural,Interior_Road,Fully_Connected,68790,9.0,6.0,5.7,46895000
Hyderabad,Commercial,Interior_Road,Partial,7860,10.1,5.7,7.4,14461000
Bangalore_South,Residential,Main_Road,Fully_Connected,6920,54.3,2.4,3.5,4897000
Bangalore_North,Agricultural,Secondary_Road,Partial,138240,19.5,6.5,5.8,61422000
Bangalore_North,Residential,Secondary_Road,Fully_Connected,2330,35.1,4.4,6.6,3040000
Bangalore_North,Mixed,Secondary_Road,Fully_Connected,5710,9.1,5.6,7.6,16581000
Bangalore_South,Residential,Secondary_Road,Fully_Connected,1220,32.2,4.3,4.3,1467000
Bangalore_North,Residential,Secondary_Road,Fully_Connected,8300,37.7,6.5,6.9,7765000
Chennai,Commercial,Secondary_Road,Fully_Connected,33950,7.9,5.2,3.8,49894000
Noida_NCR,Commercial,Secondary_Road,Not_Connected,8460,14.2,6.4,5.1,14640000
Hyderabad,Commercial,Secondary_Road,Fully_Connected,1810,8.0,5.7,6.2,6480000
Hyderabad,Commercial,Secondary_Road,Fully_Connected,12250,42.9,5.3,5.8,21125000
Pune,Mixed,Interior_Road,Not_Connected,3330,19.4,6.7,5.2,2149000
Kochi,Commercial,Interior_Road,Fully_Connected,5030,2.0,5.6,4.8,4134000
Kochi,Commercial,Main_Road,Fully_Connected,12400,33.4,4.4,3.5,9337000
Bangalore_North,Commercial,Interior_Road,Partial,9560,20.9,6.4,7.2,15188000
Bangalore_South,Residential,Interior_Road,Not_Connected,2910,9.9,4.1,1.9,2273000
Bangalore_South,Commercial,Main_Road,Partial,5080,19.5,4.3,3.5,9500000
Bangalore_South,Residential,Secondary_Road,Fully_Connected,4340,4.8,5.7,3.2,6099000
Chennai,Agricultural,Main_Road,Not_Connected,34590,6.1,4.4,5.7,15042000
Pune,Residential,Interior_Road,Fully_Connected,1950,31.5,3.3,1.6,937000
Bangalore_North,Mixed,Main_Road,Not_Connected,4830,7.4,4.0,4.8,8201000
Hyderabad,Commercial,Interior_Road,Not_Connected,10150,77.3,1.8,5.7,3498000
Chennai,Industrial,Main_Road,Not_Connected,17340,4.4,5.0,8.0,15065000
Bangalore_North,Commercial,Secondary_Road,Fully_Connected,2970,44.3,4.6,2.5,5885000
Kochi,Residential,No_Road,Fully_Connected,7610,24.5,2.9,4.5,2036000
Bangalore_North,Industrial,Secondary_Road,Partial,2240,25.2,5.6,4.4,2173000
Indore,Agricultural,Interior_Road,Partial,33460,2.8,3.9,2.9,5197000
Bangalore_North,Industrial,No_Road,Partial,12180,9.3,7.4,7.0,15852000
Kochi,Commercial,Interior_Road,Not_Connected,8870,8.0,4.4,6.9,4332000
Indore,Agricultural,Main_Road,Partial,82890,16.4,4.7,6.2,16523000
Bhopal,Industrial,Interior_Road,Fully_Connected,49260,43.4,2.7,2.8,6238000
Ahmedabad,Agricultural,Main_Road,Fully_Connected,26330,18.6,2.8,5.0,8896000
Ahmedabad,Residential,Secondary_Road,Fully_Connected,5860,19.6,4.3,1.6,3004000
Noida_NCR,Agricultural,Interior_Road,Fully_Connected,59640,30.9,4.1,3.7,20422000
Ahmedabad,Agricultural,Interior_Road,Fully_Connected,10710,10.0,4.7,4.1,3718000
Bangalore_North,Mixed,Secondary_Road,Partial,20640,5.1,5.4,5.9,42937000
Chennai,Residential,Secondary_Road,Partial,1570,38.5,4.4,4.8,882000
Chennai,Commercial,Interior_Road,Partial,10730,68.1,1.2,2.6,4433000
Kochi,Industrial,Interior_Road,Fully_Connected,27320,18.8,4.1,4.6,9769000
Pune,Commercial,Secondary_Road,Partial,9700,5.4,6.3,6.4,17615000
Hyderabad,Agricultural,Interior_Road,Partial,32040,20.7,6.8,7.6,12429000
Noida_NCR,Commercial,Main_Road,Not_Connected,14280,23.6,5.0,5.7,17089000
Bangalore_South,Residential,Main_Road,Partial,1450,11.2,5.7,5.6,1883000
Bangalore_North,Agricultural,Secondary_Road,Partial,47120,22.6,5.8,6.7,39039000
Pune,Residential,No_Road,Partial,2770,59.7,5.3,6.9,635000
Pune,Residential,Main_Road,Fully_Connected,2580,11.5,3.6,3.7,3057000
Bangalore_South,Agricultural,Main_Road,Not_Connected,73540,15.5,4.5,5.1,34612000
Hyderabad,Agricultural,Main_Road,Fully_Connected,131860,23.9,8.9,10.0,101975000
Hyderabad,Industrial,Interior_Road,Fully_Connected,15200,14.6,5.6,4.3,19144000
Hyderabad,Residential,Main_Road,Fully_Connected,6640,38.4,2.7,6.6,6336000
Hyderabad,Residential,Secondary_Road,Partial,4130,11.2,5.4,3.8,4893000
Noida_NCR,Mixed,No_Road,Partial,3360,21.3,2.7,3.4,2123000
Hyderabad,Residential,Main_Road,Partial,3380,32.4,5.5,4.4,4057000
